scrubbed_genus,scrubbed_species_binomial,latitude,longitude,extant_of_fossil,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id,is_new_world,on map coded,gbifID(OnlyRecordedForC.pechuelii)
Ampelorhiza,Ampelorhiza,9.05,-79.65,fossil-root,This study,E Miocene,Panama,Cucaracha,,,This study,1,NA,
Serjania,Serjania sp.,18.09,-94.55,fossil-pollen,L Micoene,Mexico Paraje Solo,Graham 1976 1987 1991,,,,Graham 1976 1987 1991,1,1,
Serjania,Serjania sp.,17.34,-93.56,fossil-pollen,Miocene,Mexico Pichucalco,Palacios Chavez & Rzedowski 1993,,,,Palacios Chavez & Rzedowski 1993,1,2,
Paullinia,Paullinia sp.,17.34,-93.56,fossil-pollen,Miocene,Mexico Pichucalco ,Palacios Chavez & Rzedowski 1993,,,,Palacios Chavez & Rzedowski 1993,1,2,
Serjania,Serjania sp.,9.13,-79.95,fossil-pollen,L Micoene,Panama Gatun,Graham 1991 Hendy 2013,,,,Graham 1991 Hendy 2013,1,3,
Paullinia,Paullinia sp.,9.13,-79.95,fossil-pollen,L Micoene,Panama Gatun,Graham 1991 Hendy 2013,,,,Graham 1991 Hendy 2013,1,3,
Serjania,Serjania sp.,9.13,-79.54,fossil-pollen,L Eocene,Panama Gatuncillo,Graham 1985 1987,,,,Graham 1985 1987,1,4,
Paullinia,Paullinia sp.,9.13,-79.54,fossil-pollen,L Eocene,Panama Gatuncillo,Graham 1985 1987,,,,Graham 1985 1987,1,4,
Cardiospermum,Cardiospermum sp.,9.13,-79.54,fossil-pollen,L Eocene,Panama Gatuncillo,Graham 1985,,,,Graham 1985,1,4,
Lophostigma,Lophostigma schunkei,-1.0667,-77.6,extant,8/24/88,GBIF,US,US,US,Botany,3271,1,NA,
Lophostigma,Lophostigma schunkei,-1.0666667,-77.6,extant,8/10/89,MO,"MO, QAME","MO, QAME","MO, QAME",NA,280,1,NA,
Lophostigma,Lophostigma schunkei,-1.0667,-77.6,extant,8/10/89,GBIF,US,US,US,Botany,3271,1,NA,
Lophostigma,Lophostigma schunkei,-9.1839,-74.14,extant,1/3/81,GBIF,F,F,F,Botany,3567,1,NA,
Lophostigma,Lophostigma schunkei,-9.1839,-74.14,extant,1/3/81,GBIF,F,F,F,Botany,3567,1,NA,
Lophostigma,Lophostigma schunkei,-13.6667,-68.2,extant,8/9/95,GBIF,US,US,US,Botany,3271,1,NA,
Lophostigma,Lophostigma schunkei,-13.6667,-68.2,extant,NA,SALVIAS,DeWalt Bolivia forest plots,Saara J. DeWalt,NA,NA,4,1,NA,
Lophostigma,Lophostigma schunkei,-13.66666,-68.2,extant,9/8/95,MO,"LPB, MO, US","LPB, MO, US","LPB, MO, US",NA,280,1,NA,
Lophostigma,Lophostigma plumosum,-14.83333,-67.08333,extant,6/20/89,MO,MO,MO,MO,NA,280,1,NA,
Lophostigma,Lophostigma plumosum,-18.99,-65.42,extant,3/29/05,GBIF,K,K,K,Herbarium,3716,1,NA,
Lophostigma,Lophostigma plumosum,-18.99,-65.42,extant,3/29/05,GBIF,K,K,K,Herbarium,3716,1,NA,
Lophostigma,Lophostigma plumosum,-18.13,-65.25,extant,7/24/94,GBIF,US,US,US,Botany,3271,1,NA,
Lophostigma,Lophostigma plumosum,-18.13,-65.25,extant,7/24/94,GBIF,US,US,US,Botany,3271,1,NA,
Lophostigma,Lophostigma plumosum,-18.1333333,-65.25,extant,7/24/94,MO,"MO, US","MO, US","MO, US",NA,280,1,NA,
Lophostigma,Lophostigma plumosum,-18.13333,-65.25,extant,7/24/94,MO,"AAU, ASU, BAB, BOLV, CTES, GH, K, LIL, MBM, MICH, MO, U","AAU, ASU, BAB, BOLV, CTES, GH, K, LIL, MBM, MICH, MO, U","AAU, ASU, BAB, BOLV, CTES, GH, K, LIL, MBM, MICH, MO, U",NA,280,1,NA,
Lophostigma,Lophostigma plumosum,-18.13333,-65.25,extant,7/24/94,MO,MO,MO,MO,NA,280,1,NA,
Lophostigma,Lophostigma plumosum,-18.11,-65.23,extant,12/4/06,GBIF,MA,MA,MA,MA,3753,1,NA,
